Date,SP500,IBM
2020-10-01,3380.800048828125,115.76481628417969
2020-10-02,3348.419921875,115.26768493652344
2020-10-05,3408.60009765625,116.64435577392578
2020-10-06,3360.969970703125,116.60611724853516
2020-10-07,3419.43994140625,118.61376953125
2020-10-08,3446.830078125,125.70745849609375
2020-10-09,3477.139892578125,122.17017364501953
2020-10-12,3534.219970703125,121.61567687988281
2020-10-13,3511.929931640625,119.59847259521484
2020-10-14,3488.669921875,120.40152740478516
2020-10-15,3483.340087890625,119.397705078125
2020-10-16,3483.81005859375,120.3919677734375
2020-10-19,3426.919921875,120.0
2020-10-20,3443.1201171875,112.20841217041016
2020-10-21,3435.56005859375,110.0
2020-10-22,3453.489990234375,110.6692123413086
2020-10-23,3465.389892578125,110.8986587524414
2020-10-26,3400.969970703125,107.28489685058594
2020-10-27,3390.679931640625,105.6978988647461
2020-10-28,3271.030029296875,101.95984649658203
2020-10-29,3310.110107421875,104.1204605102539
2020-10-30,3269.9599609375,106.74951934814453
2020-11-02,3310.239990234375,107.94454956054688
2020-11-03,3369.159912109375,109.13957977294922
2020-11-04,3443.43994140625,106.97896575927734
2020-11-05,3510.449951171875,109.7227554321289
2020-11-06,3509.43994140625,109.02485656738281
2020-11-09,3550.5,110.44933319091797
2020-11-10,3545.530029296875,112.72466278076172
2020-11-11,3572.659912109375,112.04589080810547
2020-11-12,3537.010009765625,109.46463012695312
2020-11-13,3585.14990234375,111.7112808227539
2020-11-16,3626.909912109375,113.15487670898438
2020-11-17,3609.530029296875,112.5239028930664
2020-11-18,3567.7900390625,111.63479614257812
2020-11-19,3581.8701171875,112.02677154541016
2020-11-20,3557.5400390625,111.79732513427734
2020-11-23,3577.590087890625,114.80879211425781
2020-11-24,3635.409912109375,118.94837188720703
2020-11-25,3629.64990234375,118.73805236816406
2020-11-27,3638.35009765625,118.88145446777344
2020-11-30,3621.6298828125,118.08795166015625
2020-12-01,3662.449951171875,117.74378967285156
2020-12-02,3669.010009765625,119.13957977294922
2020-12-03,3666.719970703125,118.17399597167969
2020-12-04,3699.1201171875,121.60611724853516
2020-12-07,3691.9599609375,119.216064453125
2020-12-08,3702.25,120.181640625
2020-12-09,3672.820068359375,121.21414947509766
2020-12-10,3668.10009765625,119.46463012695312
2020-12-11,3663.4599609375,118.80496978759766
2020-12-14,3647.489990234375,118.0975112915039
2020-12-15,3694.6201171875,120.3919677734375
2020-12-16,3701.169921875,120.02867889404297
2020-12-17,3722.47998046875,120.02867889404297
2020-12-18,3709.409912109375,120.31549072265625
2020-12-21,3694.919921875,117.96366882324219
2020-12-22,3687.260009765625,118.17399597167969
2020-12-23,3690.010009765625,118.45124053955078
2020-12-24,3703.06005859375,119.20649719238281
2020-12-28,3735.360107421875,119.3307876586914
2020-12-29,3727.0400390625,118.35564422607422
2020-12-30,3732.0400390625,118.87189483642578
2020-12-31,3756.070068359375,120.34416961669922
2021-01-04,3700.64990234375,118.48948669433594
2021-01-05,3726.860107421875,120.59273529052734
2021-01-06,3748.139892578125,123.60420989990234
2021-01-07,3803.7900390625,123.31739807128906
2021-01-08,3824.679931640625,122.87763214111328
2021-01-11,3799.610107421875,122.92543029785156
2021-01-12,3801.18994140625,123.52772521972656
2021-01-13,3809.840087890625,121.33843231201172
2021-01-14,3795.5400390625,123.29827880859375
2021-01-15,3768.25,122.74378967285156
2021-01-19,3798.909912109375,123.34607696533203
2021-01-20,3851.85009765625,124.35946655273438
2021-01-21,3853.070068359375,125.86042022705078
2021-01-22,3841.469970703125,113.39388275146484
2021-01-25,3855.360107421875,113.36520385742188
2021-01-26,3849.6201171875,117.1032485961914
2021-01-27,3750.77001953125,117.0841293334961
2021-01-28,3787.3798828125,114.79923248291016
2021-01-29,3714.239990234375,113.87189483642578
2021-02-01,3773.860107421875,115.23900604248047
2021-02-02,3826.31005859375,114.1873779296875
2021-02-03,3830.169921875,113.88145446777344
2021-02-04,3871.739990234375,115.6978988647461
