Date,Close,High,Low,Open,Volume
2020-10-05,128.52609252929688,128.65616128141608,126.95669415920435,127.45959756036424,4992800
2020-10-06,126.8179702758789,128.8555951588051,126.47981266025194,128.569459756279,5118200
2020-10-07,128.22265625,128.52612361740768,126.42781023428195,127.01742627947195,5603100
2020-10-08,129.098388671875,129.9307838655246,128.36137195634697,128.76023101862077,4413500
2020-10-09,130.9019012451172,131.34410333844428,129.58394769436532,129.75735950172069,5054100
2020-10-12,131.65625,132.78344659451335,130.94525762007405,131.44816112317915,7273200
2020-10-13,128.6388397216797,130.1648821208741,128.1272702687675,129.1937654332479,11057600
2020-10-14,128.41339111328125,129.2197618647052,127.79776406342714,129.0376841216932,7706400
2020-10-15,127.62438201904297,128.23999598188135,126.87869926470094,127.87582718052467,5978600
2020-10-16,128.41339111328125,128.98564867893296,127.46827241163443,127.97985503691024,6097000
2020-10-19,125.13587188720703,129.10705109914144,124.97112604491605,128.7862386044521,7250800
2020-10-20,125.33528900146484,126.3757729940868,124.96244107607949,125.43066747256604,5325400
2020-10-21,124.79773712158203,126.02031250766417,124.78040519772678,124.96248301154041,5221300
2020-10-22,125.79486083984375,126.32377551397472,124.7196863396748,124.99715584828913,5279700
2020-10-23,125.93359375,127.86716139937164,125.16189988236923,126.48851952862805,4154400
2020-10-26,124.8323974609375,125.52605793242628,123.77456821877354,125.23124330147424,6929500
2020-10-27,124.12138366699219,125.10984547387855,123.92196075985403,124.63296633469673,4890100
2020-10-28,119.96813201904297,123.1069297222178,119.81205211470831,122.6300372790761,8426100
2020-10-29,118.9536361694336,120.26291041673686,117.9651743995059,119.65596252826752,7205400
2020-10-30,118.88429260253906,119.25712736920062,115.88421639550066,118.51144460540317,7364100
2020-11-02,120.25424194335938,120.53169815922753,119.21375798052885,120.50568705244211,7088000
2020-11-03,120.08950805664062,122.22251163847704,119.46521497076034,121.40746159688486,6363000
2020-11-04,120.86988067626953,123.5924873345754,120.26293267546392,120.9479272431742,10263500
2020-11-05,121.18202209472656,122.97686813908193,120.74848593682124,121.86701663328219,8016200
2020-11-06,123.3410415649414,124.15609168934657,121.08664816681963,121.73695242814621,5942500
2020-11-09,126.66193389892578,129.1851176809332,125.65612677042824,128.6995460382115,12351600
