Date,Close,High,Low,Open,Volume
2015-10-05,742.6962280273438,749.0157874277224,735.3465435659964,735.3465435659964,30500
2015-10-06,736.50537109375,741.9136631725214,727.5015263494437,741.9136631725214,33900
2015-10-07,745.9846801757812,749.7684954515702,735.5148166954124,735.5148166954124,27700
2015-10-08,748.015380859375,753.265155714342,742.1019706202545,745.0338884110816,22100
2015-10-09,752.799560546875,752.799560546875,740.5665918707456,747.8469318590666,30700
2015-10-12,760.7732543945312,768.8658324632685,746.7969512294032,751.8288387305356,27200
2015-10-13,760.1690063476562,763.6952752391751,758.9209343570427,759.4459419702227,18300
2015-10-14,749.6002197265625,762.6949416210416,746.9653872753391,756.4744711116839,17400
2015-10-15,757.4649047851562,758.742661131459,748.8473193884995,749.8873592477588,6600
2015-10-16,750.343017578125,757.7521301713741,749.8279248885362,755.4541033845245,13800
2015-10-19,756.7615966796875,760.0798334247818,736.0794162689587,747.8468658287488,36000
2015-10-20,770.9756469726562,771.6195128541996,756.0187332297405,762.704781640223,33400
2015-10-21,788.6864013671875,794.7979895701852,765.5279014773478,772.6300155594424,24800
2015-10-22,782.515380859375,798.6708542155502,775.3638136131099,791.1725666656524,17800
2015-10-23,785.2392578125,787.4679406634342,774.5911064135919,781.6337297128902,30400
2015-10-26,774.4623413085938,781.6139684579558,772.2930875594602,781.6139684579558,10400
2015-10-27,768.64794921875,780.5342577118234,768.64794921875,772.3029914986457,5600
2015-10-28,780.2865600585938,781.8812918030753,770.4011336804117,777.572529522796,9000
2015-10-29,778.4938354492188,791.766905109513,767.043359828665,791.766905109513,11000
2015-10-30,782.515380859375,792.4107239138476,777.0774038984051,777.0774038984051,8800
2015-11-02,782.515380859375,787.4580949210667,759.5351702414924,781.5050251986406,24300
2015-11-03,753.0471801757812,781.6139686002529,752.7995487452729,781.6139686002529,17000
2015-11-04,745.8560180664062,755.4740454210707,732.4938345972291,755.4740454210707,17500
2015-11-05,743.7361450195312,748.2826842617527,735.6039682905486,746.8563249364367,7500
2015-11-06,750.4718017578125,752.5023672999447,732.295619349577,742.9932845469349,14100
2015-11-09,746.9555053710938,753.7901577913836,738.2983192766592,748.837528633753,21600
2015-11-10,757.14794921875,762.6948689185288,745.3705842156425,748.1341291354963,15800
2015-11-11,746.2125244140625,757.6531448062478,744.8753388794161,757.6531448062478,5700
2015-11-12,742.9437866210938,757.7521578761963,730.3740131133424,730.3740131133424,14600
2015-11-13,743.8848876953125,757.1083831540079,741.9930099880945,741.9930099880945,19000
2015-11-16,764.9928588867188,764.9928588867188,745.6479244669547,745.8856409487817,35000
2015-11-17,757.4351806640625,774.5910929442008,752.1754916455942,760.0303531465826,25200
2015-11-18,767.6375732421875,772.6199464390471,747.8964036662746,759.6440237382856,17300
2015-11-19,769.6582641601562,778.1569307551366,768.5389653329231,768.5389653329231,11800
2015-11-20,765.775390625,779.9498109022347,764.9037231768451,770.5794765199048,17500
2015-11-23,776.572265625,781.5248948700573,769.1234918942257,769.1234918942257,13000
2015-11-24,781.4257202148438,782.1289547436072,769.32146516779,780.5342229348277,6300
2015-11-25,772.2535400390625,784.4765944098602,766.0528389316894,781.7625634232353,15000
2015-11-27,772.372314453125,779.5437107082664,772.372314453125,779.5437107082664,2200
2015-11-30,800.3448486328125,800.3448486328125,772.6200410865689,774.234602981625,57700
2015-12-01,792.3314208984375,799.7405945706583,789.2509003457433,797.37322353399,16600
2015-12-02,791.5389404296875,798.6113081050711,787.1608339693067,787.6164975343797,9100
2015-12-03,788.45849609375,797.1751105923524,785.328461328381,793.6785861364561,9700
2015-12-04,790.439453125,794.5699280761836,785.9920027172357,790.706914391434,9200
2015-12-07,774.5911254882812,780.1182760226367,772.2831835956611,780.0786163007883,14700
2015-12-08,769.7969970703125,777.2656002262627,757.3559955546339,770.084288242093,14600
2015-12-09,760.9615478515625,772.6101411918667,757.0687886257697,769.7574219878371,18400
2015-12-10,755.5730590820312,779.0782771446675,744.924906859805,762.7048568478317,23000
2015-12-11,755.0084228515625,755.7414022332413,742.9141421400745,742.9141421400745,12600
2015-12-14,756.44482421875,761.3677694584873,744.3009668164053,752.9978133775404,17200
