Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-07-07 13:30:00+00:00,214.40499877929688,216.22999572753906,212.6699981689453,212.67999267578125,4576699
2025-07-07 13:35:00+00:00,213.30999755859375,214.64999389648438,213.0395965576172,214.4051055908203,1791006
2025-07-07 13:40:00+00:00,213.25,213.64999389648438,213.08999633789062,213.2899932861328,992195
2025-07-07 13:45:00+00:00,212.6699981689453,213.38999938964844,212.47000122070312,213.25999450683594,959380
2025-07-07 13:50:00+00:00,212.86000061035156,212.9499969482422,212.5,212.66000366210938,698312
2025-07-07 13:55:00+00:00,212.9499969482422,213.25999450683594,212.7899932861328,212.86000061035156,666833
2025-07-07 14:00:00+00:00,212.97000122070312,213.1199951171875,212.5,212.9600067138672,634371
2025-07-07 14:05:00+00:00,212.70899963378906,213.1199951171875,212.55999755859375,212.9600067138672,471419
2025-07-07 14:10:00+00:00,212.27999877929688,212.9250030517578,212.02000427246094,212.72000122070312,786084
2025-07-07 14:15:00+00:00,212.07000732421875,212.47000122070312,211.92999267578125,212.2899932861328,674487
2025-07-07 14:20:00+00:00,212.2449951171875,212.41000366210938,211.80999755859375,212.07000732421875,750857
2025-07-07 14:25:00+00:00,212.36000061035156,212.74969482421875,212.22999572753906,212.22999572753906,504490
2025-07-07 14:30:00+00:00,211.97000122070312,212.3800048828125,211.97000122070312,212.3699951171875,370374
2025-07-07 14:35:00+00:00,212.24000549316406,212.33990478515625,211.8300018310547,211.97000122070312,405175
2025-07-07 14:40:00+00:00,211.97129821777344,212.24530029296875,211.93499755859375,212.23500061035156,333531
2025-07-07 14:45:00+00:00,212.27999877929688,212.32000732421875,211.82000732421875,211.97000122070312,434359
2025-07-07 14:50:00+00:00,211.8249969482422,212.3300018310547,211.60000610351562,212.27499389648438,498307
2025-07-07 14:55:00+00:00,212.10000610351562,212.3350067138672,211.7801055908203,211.8249969482422,455340
2025-07-07 15:00:00+00:00,211.9499969482422,212.3800048828125,211.86500549316406,212.11500549316406,346999
2025-07-07 15:05:00+00:00,212.12109375,212.35000610351562,211.8699951171875,211.94000244140625,357422
2025-07-07 15:10:00+00:00,212.4010009765625,212.42999267578125,212.10000610351562,212.1374053955078,244918
2025-07-07 15:15:00+00:00,212.49000549316406,212.60000610351562,212.3300018310547,212.4698944091797,383588
2025-07-07 15:20:00+00:00,211.99000549316406,212.49879455566406,211.89999389648438,212.48500061035156,379915
2025-07-07 15:25:00+00:00,212.0399932861328,212.1230010986328,211.9199981689453,211.97000122070312,287726
2025-07-07 15:30:00+00:00,211.8300018310547,212.16000366210938,211.8300018310547,212.1199951171875,381964
2025-07-07 15:35:00+00:00,211.95970153808594,212.10499572753906,211.8000030517578,211.82809448242188,277825
2025-07-07 15:40:00+00:00,211.7949981689453,212.02000427246094,211.7899932861328,211.94839477539062,234343
2025-07-07 15:45:00+00:00,211.64999389648438,211.875,211.53489685058594,211.781494140625,396712
2025-07-07 15:50:00+00:00,211.69500732421875,211.92999267578125,211.61000061035156,211.625,255435
2025-07-07 15:55:00+00:00,211.75,212.05999755859375,211.6999969482422,211.8350067138672,330116
2025-07-07 16:00:00+00:00,211.89500427246094,212.02000427246094,211.74000549316406,211.74000549316406,225334
2025-07-07 16:05:00+00:00,212.02000427246094,212.02499389648438,211.81959533691406,211.89999389648438,226860
2025-07-07 16:10:00+00:00,211.9936981201172,212.08999633789062,211.94000244140625,211.99000549316406,209511
2025-07-07 16:15:00+00:00,211.77999877929688,212.1999969482422,211.5500030517578,212.01890563964844,465088
