Date,Close,High,Low,Open,Volume
2015-10-05,71.76438903808594,71.80982686036529,71.24940586642565,71.33271239257311,9419200
2015-10-06,70.74954986572266,71.68864034090899,70.11339739345283,71.5826091509124,8365200
2015-10-07,71.93098449707031,72.26420474220622,70.76469919421572,71.38570765127321,9397300
2015-10-08,72.00674438476562,72.09762004278352,71.04493463241467,71.72653095731813,7090700
2015-10-09,72.22635650634766,72.67317714817106,71.77953008657151,72.05216856488681,8259700
2015-10-12,72.69590759277344,73.05942754752319,71.93101053086959,71.99916727228623,8957900
2015-10-13,72.28693389892578,72.87765441761148,71.42358069663058,71.78710057136391,12761900
2015-10-14,71.59019470214844,72.6731736674892,71.27969331435415,72.10517782786194,8881900
2015-10-15,73.57440185546875,73.72586511443657,71.84012038390831,71.94614582077638,9561900
2015-10-16,74.3998794555664,74.45289216902422,73.76372689407263,74.11967187498328,9495300
2015-10-19,74.17269134521484,74.36959242573637,73.69557110267874,74.255997870802,8725400
2015-10-20,73.90763854980469,74.40747781541789,73.69558762910366,74.18027709869294,6041800
2015-10-21,73.93791198730469,74.38473839960147,73.51381026278108,73.94548688322908,7059800
2015-10-22,75.3768539428711,75.58890485566215,73.55926561073427,74.10454268817072,9887900
2015-10-23,75.96756744384766,76.39924415916447,75.37685254688294,75.64191618296276,9178900
2015-10-26,75.6873550415039,75.94484376383835,75.3465540068245,75.77066157589529,7561600
2015-10-27,75.87667846679688,76.4143805421687,75.5055836634654,75.67219671345865,8883200
2015-10-28,76.09630584716797,76.09630584716797,75.35412200273119,76.07358115790771,7256300
2015-10-29,76.77033996582031,76.89150943895733,75.8236799839993,76.08874362331838,6340700
2015-10-30,76.5128402709961,77.33833072384495,76.49769625461103,76.89150423811215,10520300
2015-11-02,77.37621307373047,77.50495746815344,76.36896528169304,76.62645984849402,6297900
2015-11-03,77.21712493896484,77.47461933929188,76.57339760507422,77.12624354274037,6229200
2015-11-04,77.20201873779297,77.54281402912241,77.01268673639791,77.17172492421527,5592300
2015-11-05,77.49734497070312,77.6185143982354,76.8081739899039,77.43675736796108,6545600
2015-11-06,77.18685150146484,77.18685150146484,76.38408584588204,76.92178791499438,6221100
2015-11-09,76.36893463134766,76.93693049661515,76.14931464804263,76.78546724372491,6625900
2015-11-10,76.8309097290039,77.06568529657739,76.24776981422153,76.49011450033218,5114200
2015-11-11,77.14142608642578,77.52009006455356,76.86878755993749,77.08083846321644,6284700
2015-11-12,75.937255859375,76.95207811451613,75.89939293619857,76.59613312453273,6918700
2015-11-13,75.64190673828125,76.44467822182932,75.53588129708771,75.76308197276141,8517500
2015-11-16,76.65672302246094,76.7097357388518,75.7630759619057,76.02056464781772,5755800
2015-11-17,76.86878967285156,77.0278278546823,76.02058025846702,76.02058025846702,5124000
2015-11-18,77.75485229492188,77.85330861751838,76.72488591267961,76.89149897127074,7148400
2015-11-19,77.61853790283203,77.76243205843075,77.29288666191894,77.7472880421352,5164500
2015-11-20,78.18309020996094,78.42722139836911,77.96947032712546,78.19071512608079,7671500
2015-11-23,78.40431213378906,78.57978411566985,77.96182845267455,78.11440822953536,6730600
2015-11-24,77.84740447998047,78.41958747523857,77.6719324670609,77.6719324670609,7492400
2015-11-25,77.78636932373047,78.06864836016494,77.78636932373047,77.94657986207014,5400800
2015-11-27,78.09915924072266,78.28988688833749,77.6566697013252,78.03049426089744,2353800
2015-11-30,77.2370834350586,78.18309696485261,77.2370834350586,78.18309696485261,8983700
2015-12-01,78.0915298461914,78.19070612925783,77.14552232752811,77.61089826134426,7545700
2015-12-02,77.85504150390625,78.52640084383133,77.80926290261696,78.19834900056804,6623500
2015-12-03,76.89375305175781,78.09915308663099,76.52755343615308,78.02285737716032,12008700
2015-12-04,78.5416488647461,78.57979672535556,77.2675894798195,77.35914085295445,7845400
2015-12-07,78.82392120361328,78.95361460579372,78.27462465255985,78.28225538814276,7262900
2015-12-08,78.1373291015625,78.76291577568028,77.74824875267501,78.56456314232321,8005400
2015-12-09,77.93133544921875,78.839195297407,77.56513572266792,77.92370471185075,7947000
2015-12-10,78.30516052246094,78.83919573020925,77.66431827316296,78.04577365599668,6479300
2015-12-11,77.57275390625,78.09916410905558,77.3820262467461,78.09916410905558,7796500
2015-12-14,77.93133544921875,78.03814249018207,76.88614561059514,77.5498800684791,10641500
2015-12-15,79.44190216064453,79.86913618087935,78.31279739845776,78.31279739845776,9283200
2015-12-16,80.29634094238281,80.47943785729665,78.97650303853666,79.83096500904456,8178800
2015-12-17,79.06805419921875,80.30397146787926,79.06042346345808,80.22768157191042,8740800
2015-12-18,77.77873992919922,78.640832705363,77.77873992919922,78.640832705363,14966000
2015-12-21,77.49646759033203,78.51876509868625,76.93954023778552,78.07627551124344,8321900
2015-12-22,78.35855102539062,78.48824443707656,77.16841229124441,77.74822600657939,5581600
2015-12-23,78.9536361694336,79.09096034470262,78.38145307590388,78.66373216410895,5531700
2015-12-24,79.12908172607422,79.27403659049035,78.58741594397374,78.6713365685783,2546300
2015-12-28,78.7476577758789,78.93838548573308,78.52641293398233,78.7171406438365,4063000
2015-12-29,79.36559295654297,79.48766145281844,78.83918275231092,78.83918275231092,4230000
2015-12-30,79.17487335205078,79.60210149139012,78.98414567262473,79.4266352858244,3847800
2015-12-31,78.3662109375,79.05283193227159,78.34332454109902,78.86210420153218,4592600
2016-01-04,76.65726470947266,77.67193145083966,75.87146185034027,77.59564154991267,12722800
2016-01-05,76.9776840209961,77.38965646121306,76.7259221152169,76.73355285129858,6467200
2016-01-06,76.58863067626953,77.03112042923578,75.98593032044626,76.15377166264372,7733800
2016-01-07,75.69596099853516,76.35968923527498,75.43656846950549,75.76462013176602,9433100
2016-01-08,74.88732147216797,76.24530166605753,74.65081518340669,76.19952306341663,9766700
2016-01-11,74.43718719482422,75.24587057026636,73.30045202774208,74.948335901168,8151400
2016-01-12,74.94834899902344,75.24588372011851,74.18543826379566,74.7576213152165,6745000
2016-01-13,74.017578125,75.51288790740409,73.88025399480149,75.13905755153031,8290700
2016-01-14,75.4442138671875,75.88670332472137,74.00231358362439,74.07860346444699,10164300
2016-01-15,74.0023422241211,74.76525296869967,73.43015916568717,73.52171055043354,12662200
2016-01-19,74.38379669189453,75.07804825488144,73.92605141482304,74.71184854089604,12457800
2016-01-20,73.04869842529297,74.21595084743316,72.11794645401744,73.32334673880203,12685200
2016-01-21,73.19365692138672,73.72769210141443,71.92722232225395,73.06395767433976,11266400
2016-01-22,73.81161499023438,74.07100185111781,73.20128406261308,74.01759833149198,8380000
2016-01-25,73.5445785522461,74.52873386513788,73.26993028722767,73.78870969664631,9350200
2016-01-26,77.1913070678711,77.31336975667996,74.10914705320069,74.20069843521752,17266600
2016-01-27,77.93896484375,78.86971106745895,76.66489947041502,76.66489947041502,19330500
2016-01-28,78.02288055419922,78.61032509657191,77.70245943320347,78.19835258934289,12789500
2016-01-29,79.67839813232422,79.91489859494666,78.29752575948974,78.49588417811817,15614600
2016-02-01,79.62499237060547,79.94541346975154,78.74764389580827,79.04517860509345,9803700
2016-02-02,78.892578125,79.54105089021566,78.57978202405225,78.80865750379671,10616300
2016-02-03,79.44953918457031,79.63263616741575,77.82454109315223,79.07571448026766,10168600
2016-02-04,79.26642608642578,79.41137516729158,78.37382192840892,79.04518127604992,10389000
2016-02-05,76.7030258178711,78.40431304987425,76.12321218204369,78.3203982460021,15522200
2016-02-08,77.81686401367188,78.96886039499933,76.4588843768773,76.52754352185144,14323800
2016-02-09,77.79399871826172,77.9999820295611,77.0310880799664,77.2904749031246,10044500
2016-02-10,77.61091613769531,78.5111510900734,77.33626779150896,77.85504735424459,9833100
2016-02-11,77.58802032470703,77.83215152992778,76.27581873448739,76.64201263204498,12465800
2016-02-12,77.6795654296875,77.80163393270328,76.84036484336704,77.6795654296875,9035000
2016-02-16,78.0610122680664,78.61793956645658,77.54986356359404,78.09916012624026,10452800
2016-02-17,78.1983413696289,78.76289361903228,77.99235805584198,78.38906903150605,8904000
2016-02-18,79.52581787109375,79.86150047599787,78.1983547470915,78.45011670076958,10744600
2016-02-19,80.0406723022461,80.44025831840027,79.44128448392144,79.59497592300299,9343300
2016-02-22,80.49404907226562,80.49404907226562,79.95614369085997,80.04067251689928,6947000
2016-02-23,79.97917938232422,80.52477068842833,79.88696453772002,80.41718963442064,6629200
2016-02-24,80.65541076660156,80.74762561895598,79.12621777377564,79.41053664209402,9076100
2016-02-25,81.74659729003906,81.75428332710977,80.50940914443683,80.64772849806717,8092500
2016-02-26,81.2855453491211,82.16156608228994,81.00890660572786,82.08472328973164,9049400
2016-02-29,80.8475341796875,81.60828778509969,80.71690084736274,80.90132472021708,10111100
2016-03-01,82.39212036132812,82.4074865784853,81.02429838784239,81.37778000976438,8298500
2016-03-02,82.25376892089844,82.53809366078212,81.7850203333021,82.15387389145583,9767000
2016-03-03,81.9540786743164,82.22303134261104,81.17026705502526,82.08471198995545,6927200
2016-03-04,81.83881378173828,82.20766735303121,81.50838453383807,81.84649981896254,6715700
2016-03-07,82.02323150634766,82.1615508524047,81.06268212059827,81.45458791154792,6973500
2016-03-08,81.6236572265625,82.0462954991594,81.43154732191054,81.85418559450744,7632900
2016-03-09,82.1000747680664,82.23839411493786,81.52374513322334,82.1000747680664,7564200
2016-03-10,82.3305892944336,82.59186171508415,81.50835944636947,82.21532222246208,10474700
2016-03-11,82.76862335205078,82.98378548833936,82.38440357647015,82.60725174983433,7763800
2016-03-14,82.73018646240234,83.22198719656927,82.46122798922873,82.9299764800327,7242800
2016-03-15,82.80703735351562,83.2604138180816,82.03859789813374,82.69945629878039,8476600
2016-03-16,82.5381088256836,82.82242775507738,82.13083087067582,82.7840092887231,7065100
2016-03-17,82.02323150634766,82.68408995276148,81.80038334532642,82.5841949272257,8571100
2016-03-18,82.60723876953125,82.86850536176286,81.73121828787723,82.21533301845626,14758300
2016-03-21,82.43819427490234,82.79936180270477,81.8772366845642,82.53809516889872,7674700
2016-03-22,82.51504516601562,82.70715507306674,82.26146454438225,82.43820237574099,7821700
2016-03-23,83.37570190429688,83.62928839548478,82.37672801565138,82.44589063267047,8191300
2016-03-24,83.22969818115234,83.46023242558088,82.7993738451304,83.1605414254614,6284500
2016-03-28,83.16822814941406,83.68308132178962,83.03758894970507,83.30654752466579,4738100
2016-03-29,83.86750030517578,83.95202913304661,82.79168365632549,83.22201383350306,6612800
2016-03-30,83.74456787109375,84.19025847753178,83.70614353788852,84.10572963466437,5248200
2016-03-31,83.14514923095703,83.74453694889544,83.02220196301211,83.65232210089079,8167700
