Date,^DJI
2021-07-13,-0.00307336
2021-07-14,0.00127299
2021-07-15,0.00153858
2021-07-16,-0.00858760
2021-07-19,-0.02114612
2021-07-20,0.01606335
2021-07-21,0.00825316
2021-07-22,0.00072827
2021-07-23,0.00681693
2021-07-26,0.00235758
2021-07-27,-0.00244404
2021-07-28,-0.00364598
2021-07-29,0.00438765
2021-07-30,-0.00425772
2021-08-02,-0.00278927
2021-08-03,0.00795487
2021-08-04,-0.00926143
2021-08-05,0.00777531
2021-08-06,0.00410577
2021-08-09,-0.00303398
2021-08-10,0.00462779
2021-08-11,0.00622753
2021-08-12,0.00041932
2021-08-13,0.00043730
2021-08-16,0.00309301
2021-08-17,-0.00795051
2021-08-18,-0.01088398
2021-08-19,-0.00190596
2021-08-20,0.00645463
2021-08-23,0.00612110
2021-08-24,0.00086421
2021-08-25,0.00110887
2021-08-26,-0.00544840
2021-08-27,0.00686810
2021-08-30,-0.00157958
2021-08-31,-0.00110540
2021-09-01,-0.00136400
2021-09-02,0.00371102
2021-09-03,-0.00211065
2021-09-07,-0.00763714
2021-09-08,-0.00196574
2021-09-09,-0.00433960
2021-09-10,-0.00781905
2021-09-13,0.00753948
2021-09-14,-0.00841100
2021-09-15,0.00682561
2021-09-16,-0.00181326
2021-09-17,-0.00480101
2021-09-20,-0.01792498
2021-09-21,-0.00149149
2021-09-22,0.00992937
2021-09-23,0.01467650
2021-09-24,0.00095395
2021-09-27,0.00204891
2021-09-28,-0.01646381
2021-09-29,0.00264171
2021-09-30,-0.01602730
2021-10-01,0.01415709
2021-10-04,-0.00947005
2021-10-05,0.00912656
2021-10-06,0.00297727
2021-10-07,0.00977147
2021-10-08,-0.00025011
2021-10-11,-0.00722658
2021-10-12,-0.00341836
2021-10-13,-0.00001545
2021-10-14,0.01543535
2021-10-15,0.01088795
2021-10-18,-0.00102482
2021-10-19,0.00561966
2021-10-20,0.00427856
2021-10-21,-0.00017586
2021-10-22,0.00207467
2021-10-25,0.00179587
2021-10-26,0.00044003
2021-10-27,-0.00747222
2021-10-28,0.00673367
2021-10-29,0.00248995
2021-11-01,0.00262866
2021-11-02,0.00385705
2021-11-03,0.00290677
2021-11-04,-0.00092271
2021-11-05,0.00562355
2021-11-08,0.00286612
2021-11-09,-0.00308550
2021-11-10,-0.00663094
2021-11-11,-0.00440857
2021-11-12,0.00497291
2021-11-15,-0.00035628
2021-11-16,0.00151654
2021-11-17,-0.00585983
2021-11-18,-0.00167409
2021-11-19,-0.00752649
2021-11-22,0.00048495
2021-11-23,0.00544709
2021-11-24,-0.00026311
2021-11-26,-0.02560229
2021-11-29,0.00675666
2021-11-30,-0.01873729
